DisNo.,Disaster Type,ISO,Country,Start Date,End Date,Total Deaths,No. Affected,Admin1,Admin1 Code
2015-0158-KEN,Flood,KEN,Kenya,2015-04-04,2015-04-10,13,1500,,
2015-0205-TZA,Flood,TZA,United Republic of Tanzania,2015-05-07,2015-05-21,12,,Arusha,TZA_Arusha
2015-0205-TZA,Flood,TZA,United Republic of Tanzania,2015-05-07,2015-05-21,12,,Dar-es-salaam,TZA_Dar es Salaam
2015-0205-TZA,Flood,TZA,United Republic of Tanzania,2015-05-07,2015-05-21,12,,Kilimanjaro,TZA_Kilimanjaro
2015-0205-TZA,Flood,TZA,United Republic of Tanzania,2015-05-07,2015-05-21,12,,Tanga,TZA_Tanga
2015-0205-TZA,Flood,TZA,United Republic of Tanzania,2015-05-07,2015-05-21,12,,Kagera,TZA_Kagera
2015-0392-SDN,Flood,SDN,Sudan,2015-08-08,2015-08-09,20,,Western Darfur,SDN_West Darfur
2015-0392-SDN,Flood,SDN,Sudan,2015-08-08,2015-08-09,20,,Gadaref,SDN_Gedaref
2015-0392-SDN,Flood,SDN,Sudan,2015-08-08,2015-08-09,20,,,SDN_South Kordofan
2015-0477-SOM,Flood,SOM,Somalia,2015-10-27,2015-10-27,,900000,Galgaduud,SOM_Galgaduud
2015-0477-SOM,Flood,SOM,Somalia,2015-10-27,2015-10-27,,900000,Mudug,SOM_Mudug
2015-0477-SOM,Flood,SOM,Somalia,2015-10-27,2015-10-27,,900000,Nugaal,SOM_Nugaal
2015-0477-SOM,Flood,SOM,Somalia,2015-10-27,2015-10-27,,900000,,SOM_Bay
2015-0548-ETH,Flood,ETH,Ethiopia,2015-11-01,2015-11-01,,210600,,
2015-0564-KEN,Flood,KEN,Kenya,2015-12-01,2016-01-06,112,240726,,
2019-0645-BDI,Flood,BDI,Burundi,2019-12-21,2019-12-28,14,3740,Bujumbura Mairie,BDI_Bujumbura Mairie
2016-0028-TZA,Flood,TZA,United Republic of Tanzania,2016-01-17,2016-01-18,3,58896,Dodoma,TZA_Dodoma
2016-0028-TZA,Flood,TZA,United Republic of Tanzania,2016-01-17,2016-01-18,3,58896,Mwanza,TZA_Mwanza
2016-0130-UGA,Flood,UGA,Uganda,2016-04-13,2016-04-18,,10000,,
2016-0186-ETH,Flood,ETH,Ethiopia,2016-05-09,2016-05-20,100,490000,,
2019-0254-UGA,Flood,UGA,Uganda,2019-05-26,2019-05-29,8,2500,,
2016-0274-SDN,Flood,SDN,Sudan,2016-06-01,2016-09-08,171,90000,Blue Nile,SDN_Blue Nile
2016-0274-SDN,Flood,SDN,Sudan,2016-06-01,2016-09-08,171,90000,Khartoum,SDN_Khartoum
2016-0274-SDN,Flood,SDN,Sudan,2016-06-01,2016-09-08,171,90000,Northern,SDN_Northern
2016-0274-SDN,Flood,SDN,Sudan,2016-06-01,2016-09-08,171,90000,Northern Darfur,SDN_North Darfur
2016-0274-SDN,Flood,SDN,Sudan,2016-06-01,2016-09-08,171,90000,Sennar,SDN_Sennar
2016-0274-SDN,Flood,SDN,Sudan,2016-06-01,2016-09-08,171,90000,Southern Darfur,SDN_South Darfur
2016-0274-SDN,Flood,SDN,Sudan,2016-06-01,2016-09-08,171,90000,Western Darfur,SDN_West Darfur
2016-0274-SDN,Flood,SDN,Sudan,2016-06-01,2016-09-08,171,90000,White Nile,SDN_White Nile
2016-0274-SDN,Flood,SDN,Sudan,2016-06-01,2016-09-08,171,90000,Southern Kordofan,SDN_South Kordofan
2016-0274-SDN,Flood,SDN,Sudan,2016-06-01,2016-09-08,171,90000,Red Sea,SDN_Red Sea
2016-0274-SDN,Flood,SDN,Sudan,2016-06-01,2016-09-08,171,90000,Kassala,SDN_Kassala
